id,titulo,arquivo
,001 1COOPERATIVAS DA AGRICULTURA FAMILIAR RESILIÊNCIA EM TEMPOS DE COVID 19.,001-1COOPERATIVAS DA AGRICULTURA FAMILIAR RESILIÊNCIA EM TEMPOS DE COVID-19..txt
002-30,ANOS_DA_APA_DA_SERRA_DE_BATURITE_CEARA_CAFEICULTURA_TURISMO_E_EMPREENDEDORISMO_SUSTENTAVEL,002-30_ANOS_DA_APA_DA_SERRA_DE_BATURITE_CEARA_CAFEICULTURA_TURISMO_E_EMPREENDEDORISMO_SUSTENTAVEL.txt
,003 A ATUAÇÃO DA EDUCAÇÃO COOPERATIVISTA NO RECÔNCAVO DA BAHIA O CASO DA COOPEDUCAR,003-A ATUAÇÃO DA EDUCAÇÃO COOPERATIVISTA NO RECÔNCAVO DA BAHIA O CASO DA COOPEDUCAR.txt
,004 A AUTONOMIA DELIBERATIVA DAS COOPERATIVAS DE SAÚDE NA ADMISSÃO DE NOVOS ASSOCIADOS,004-A AUTONOMIA DELIBERATIVA DAS COOPERATIVAS DE SAÚDE NA ADMISSÃO DE NOVOS ASSOCIADOS.txt
,005 A CONSTRUÇÃO DE REFERENTES TEÓRICO METODOLÓGICOS DE ATER PARA GESTÃO DE COOPERATIVAS DE AGRICULTORES FAMILIARES LUXO OU NECESSIDADE1,005-A CONSTRUÇÃO DE REFERENTES TEÓRICO-METODOLÓGICOS DE ATER PARA GESTÃO DE COOPERATIVAS DE AGRICULTORES FAMILIARES LUXO OU NECESSIDADE1.txt
,006 A CONTRIBUIÇÃO DA ECONOMIA COLABORATIVA NO DESENVOLVIMENTO DAS COOPERATIVAS DE CRÉDITO ESTUDO NO SICOOB CREDIMEPI,006-A CONTRIBUIÇÃO DA ECONOMIA COLABORATIVA NO DESENVOLVIMENTO DAS COOPERATIVAS DE CRÉDITO ESTUDO NO SICOOB CREDIMEPI.txt
,007 A DISSEMINAÇÃO DA CULTURA COOPERATIVISTA ATRAVÉS DE PROGRAMA SOCIAL INSTITUCIONAL UM ESTUDO SOBRE O ALCANCE EM PERCEPÇÃO DE VALOR DOS ASSOCIADOS,007-A DISSEMINAÇÃO DA CULTURA COOPERATIVISTA ATRAVÉS DE PROGRAMA SOCIAL INSTITUCIONAL UM ESTUDO SOBRE O ALCANCE EM PERCEPÇÃO DE VALOR DOS ASSOCIADOS.txt
,008 A EDUCAÇÃO COOPERATIVA COMO GERADOR DE MUDANÇAS SOCIAIS UM ESTUDO SOBRE A 6ª SEMANA DA EDUCAÇÃO FINANCEIRA NA CIDADE DE ITAMARAJUBA,008-A EDUCAÇÃO COOPERATIVA COMO GERADOR DE MUDANÇAS SOCIAIS UM ESTUDO SOBRE A 6ª SEMANA DA EDUCAÇÃO FINANCEIRA NA CIDADE DE ITAMARAJUBA.txt
,009 A EFETIVIDADE DAS COOPERATIVAS DE CRÉDITO NA PROMOÇÃO DE AÇÕES SOCIALMENTE INOVADORAS À LUZ DA TEORI,009-A EFETIVIDADE DAS COOPERATIVAS DE CRÉDITO NA PROMOÇÃO DE AÇÕES SOCIALMENTE INOVADORAS À LUZ DA TEORI.txt
,010 A EXTENSÃO RURAL E A EDUCAÇÃO NA CONSTRUÇÃO DO COOPERATIVISMO A EXPERIÊNCIA DO INSTITUTO PARANAENSE DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL – EMATER PARANÁ,010-A EXTENSÃO RURAL E A EDUCAÇÃO NA CONSTRUÇÃO DO COOPERATIVISMO A EXPERIÊNCIA DO INSTITUTO PARANAENSE DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL – EMATER PARANÁ.txt
,011 A FORMAÇÃO DA FORÇA DE TRABALHO HÍBRIDA EM COOPERATIVAS ESTUDO DE CASO EM UMA COOPERATIVA AGROPECUÁRIA CERTIFICADA PELO FAIRTRADE,011-A FORMAÇÃO DA FORÇA DE TRABALHO HÍBRIDA EM COOPERATIVAS ESTUDO DE CASO EM UMA COOPERATIVA AGROPECUÁRIA CERTIFICADA PELO FAIRTRADE.txt
,012 A IMPORTÂNCIA DA EDUCAÇÃO PARA O DESENVOLVIMENTO DO PERFIL DA PESSOA COOPERATIVA,012-A IMPORTÂNCIA DA EDUCAÇÃO PARA O DESENVOLVIMENTO DO PERFIL DA PESSOA COOPERATIVA.txt
